version,model,threshold,accuracy,recall,precision,f1,auc,avg_precision,cost,tn,fp,fn,tp,rating,note
V1,XGBClassifier,0.5,0.708,0.26804123711340205,0.4968152866242038,0.3482142857142857,0.6882352085847644,0.4463599411314076,35900,630,79,213,78,D,computed from packaged V1 model and test set
V2 baseline,V2 tuned model,0.5,0.6786666666666666,0.6559633027522935,0.4627831715210356,0.5426944971537002,0.736583431054701,,19550,366,166,75,143,B,baseline V2 default threshold
V2 XGBoost safe rolling,XGBClassifier,0.49,0.7106666666666667,0.5688073394495413,0.5020242914979757,0.5333333333333333,0.7146737255983997,0.4722520271264352,20250,409,123,94,124,B,order-time safe plus rolling customer history
V3 stacking,V3 Stacking (XGB+LGB+CAT),0.5,0.6666666666666666,0.6376146788990825,0.4483870967741935,0.5265151515151515,0.718984962406015,0.4878256192044552,20400,361,171,79,139,B,stacking model reusing V2 train/test features
V4 generated,XGBoost_SMOTE_Optuna,0.3399999999999999,0.8345360824742268,0.4639175257731959,0.45,0.4568527918781725,0.8538112237136325,0.4446689081268707,31650,1484,165,156,135,C,synthetic/generated data with SMOTE/Optuna
