display_version,version,model,dataset,rows,train_rows,test_rows,feature_count,order_time_safe,accuracy,recall,precision,f1,auc,avg_precision,cost,threshold,tn,fp,fn,tp,performance_rating,note
V1,v1_baseline_xgboost,XGBoost baseline,clean_dataset.csv,5000.0,,1000,136.0,Partial,0.708,0.268041237113402,0.4968152866242038,0.3482142857142857,0.6882352085847644,0.4463599411314076,35900.0,0.5,630,79,213,78,D,Baseline feature set from clean_dataset.csv; includes customer history but less complete rolling windows.
V2,v2_xgboost_safe_plus_rolling,XGBoost safe plus rolling,clean_dataset.csv,5000.0,,750,60.0,Yes,0.7106666666666667,0.5688073394495413,0.5020242914979757,0.5333333333333333,0.7146737255983997,0.4722520271264352,20250.0,0.49,409,123,94,124,B,Current V2. Uses order-time-safe features and rolling history 30/60/90/180/365d; does not use HIGH_ACCURACY synthetic signal.
V3,v3_stacking_from_v2,Stacking XGBoost + LightGBM + CatBoost,V2 engineered feature set,5000.0,,750,,Depends on V2 feature input,0.6666666666666666,0.6376146788990825,0.4483870967741935,0.5265151515151515,0.718984962406015,0.4878256192044552,24350.0,0.5,361,171,79,139,C,Stacking model at threshold 0.5. It improves recall over V2 but adds complexity and lowers precision.
V4,v4_generated_xgboost_smote_optuna,XGBoost_SMOTE_Optuna,clean_dataset_v4_generated.csv,,,1940,,Synthetic/generated-data experiment,0.8345360824742268,0.4639175257731959,0.45,0.4568527918781725,0.8538112237136325,0.4446689081268707,31650.0,0.3399999999999999,1484,165,156,135,B+,"Generated-data experiment with SMOTE/Optuna. Good accuracy/AUC, but lower recall than current V2."
