area,dataset_role,paired_dataset,best_version,model,feature_count,accuracy,recall,f1,auc,selection_reason
SETC_S1,holdout_train_validation_test,clean_dataset_s1_5000_high_signal_33pct_return,V5,LightGBM,64,0.8440,0.7043,0.7476,0.8529,Best holdout accuracy on S1 with semi-realistic 33% return ratio.
SETC_S2,holdout_train_validation_test,clean_dataset_s2_40000_high_signal_33pct_return,V3,LightGBM,81,0.8720,0.7600,0.7975,0.8869,Best holdout accuracy tie with V1; V3 wins by F1/AUC tie-breaker.
SETD_S3,external_full_dataset_test,S3_vs_SETC_S1_high_signal_33pct_return,V4,LightGBM,107,0.8516,0.7355,0.7686,0.8773,Best external accuracy on S3.
SETD_S4,external_full_dataset_test,S4_vs_SETC_S2_high_signal_33pct_return,V3,LightGBM,81,0.8723,0.7652,0.7991,0.8883,Best external accuracy on S4; V5 is the lower-cost alternative.
