version,model,feature_set,feature_count,threshold,accuracy,precision,recall,f1,auc,avg_precision,cost_thb,tn,fp,fn,tp,performance_rating,main_takeaway
V1,XGBoost,baseline/tuned encoded features,136,0.5,0.708,0.4968152866242038,0.26804123711340205,0.3482142857142857,0.6882352085847644,0.4463599411314076,35900,630,79,213,78,D,"Highest simple accuracy among V1-V3, but recall is low and cost is high."
V2,XGBoost,engineered v2 behavior/history features,38,0.5,0.6786666666666666,0.4627831715210356,0.6559633027522935,0.5426944971537002,0.736583431054701,0.5177566452923662,19550,366,166,75,143,B,"Best overall practical version before V4: strong recall, F1, AUC, and lowest cost."
V3,Stacking (XGB+LGB+CAT),stacking model features,,0.5,0.6666666666666666,0.4483870967741935,0.6376146788990825,0.5265151515151515,0.718984962406015,0.4878256192044552,20400,361,171,79,139,B,"Stacking improves AUC/F1 over V1, but does not beat V2 on cost or recall."
V4,XGBoost,clean_dataset_v4 + selected top120 engineered features,120,0.33,0.654,0.4330900243309002,0.6116838487972509,0.5071225071225072,0.6827340186798112,0.4436623992340741,28600,,,,,B,Auditable cleaned-data XGBoost with selected features; balanced but still below V2 on F1/AUC/cost.
