version,train_dataset,test_dataset,rows,feature_count,threshold,holdout_accuracy,holdout_recall,holdout_f1,holdout_auc,external_accuracy,external_recall,external_precision,external_f1,external_auc,external_cost,model_path,history_context_path,external_data_path,feature_context_mode
V1,LightGBM_SETC_S1_REBUILD,S3,55000,25,0.51,0.806,0.7084639498432602,0.6996904024767802,0.8296990871804787,0.8008909090909091,0.6955109946450951,0.6853213584058377,0.690378580112528,0.8235787177757611,2952800,docs\LightGBM\SETC\clean_dataset\S1\V1\models\model_lgbm_s1_v1_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\clean_dataset_s1.csv,docs\LightGBM\SETD\real_dataset\S3\real_dataset_s3_unseen_future_from_v2.csv,history_plus_external_chronological_point_in_time
V2,LightGBM_SETC_S1_REBUILD,S3,55000,64,0.5800000000000001,0.812,0.664576802507837,0.6928104575163399,0.8256712652884611,0.8070727272727273,0.6691922069044093,0.7097456347048516,0.6888725993256121,0.8220142470198292,3143700,docs\LightGBM\SETC\clean_dataset\S1\V2\models\model_lgbm_s1_v2_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\clean_dataset_s1.csv,docs\LightGBM\SETD\real_dataset\S3\real_dataset_s3_unseen_future_from_v2.csv,history_plus_external_chronological_point_in_time
V3,LightGBM_SETC_S1_REBUILD,S3,55000,81,0.6100000000000001,0.819,0.6551724137931034,0.6978297161936561,0.827075248919393,0.8203818181818182,0.6431012874558505,0.7574984902368651,0.6956280617432296,0.8252399987827064,3313200,docs\LightGBM\SETC\clean_dataset\S1\V3\models\model_lgbm_s1_v3_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\clean_dataset_s1.csv,docs\LightGBM\SETD\real_dataset\S3\real_dataset_s3_unseen_future_from_v2.csv,history_plus_external_chronological_point_in_time
V4,LightGBM_SETC_S1_REBUILD,S3,55000,107,0.6100000000000001,0.825,0.6614420062695925,0.7068676716917923,0.8313470417374413,0.8205090909090909,0.6331890167483195,0.7640225460544404,0.6924802193009781,0.8256987688643603,3391150,docs\LightGBM\SETC\clean_dataset\S1\V4\models\model_lgbm_s1_v4_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\clean_dataset_s1.csv,docs\LightGBM\SETD\real_dataset\S3\real_dataset_s3_unseen_future_from_v2.csv,history_plus_external_chronological_point_in_time
V5,LightGBM_SETC_S1_REBUILD,S3,55000,64,0.6700000000000002,0.82,0.5956112852664577,0.6785714285714286,0.8326727705430425,0.8191454545454545,0.612396035091717,0.7737709637947168,0.6836900181257354,0.8258741260081717,3559150,docs\LightGBM\SETC\clean_dataset\S1\V5\models\model_lgbm_s1_v5_lightgbm.pkl,docs\LightGBM\SETC\clean_dataset\clean_dataset_s1.csv,docs\LightGBM\SETD\real_dataset\S3\real_dataset_s3_unseen_future_from_v2.csv,history_plus_external_chronological_point_in_time
